FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
432119|Capehart|Populated Place|10162|U6|||18|IN|1|027|Daviess|38.7456033|-87.1941795|02/14/1979|
432123|Carbon|Populated Place|10198|P1|0690|180690021|18|IN|1|021|Clay|39.5978193|-87.1186256|02/14/1979|04/10/2014
432124|Carbondale|Populated Place|10216|U6|||18|IN|1|171|Warren|40.3600367|-87.3477916|02/14/1979|
432127|Cardonia|Populated Place|10234|U6|||18|IN|1|021|Clay|39.561708|-87.1189038|02/14/1979|04/10/2014
432132|Carlisle|Populated Place|10270|P1|0700|180700153|18|IN|1|153|Sullivan|38.9683772|-87.4055745|02/14/1979|03/20/2008
432134|Carlos|Populated Place|||0705|180705135|18|IN|1|135|Randolph|40.026435|-85.0344088|02/14/1979|04/10/2014
432143|Carmel|Populated Place|10342|P1|0710|180710057|18|IN|1|057|Hamilton|39.9783711|-86.1180435|02/14/1979|03/20/2008
432160|Carp|Populated Place|10378|U6|||18|IN|1|119|Owen|39.3850457|-86.7608397|02/14/1979|
432163|Carpentersville|Populated Place|10414|U6|||18|IN|1|133|Putnam|39.8056011|-86.8055632|02/14/1979|06/30/2011
432174|Carriage Estates|Populated Place|10486|U6|||18|IN|1|059|Hancock|39.7375434|-85.8938692|02/14/1979|
432178|Carrollton|Populated Place|10522|U6|0714|180714015|18|IN|1|015|Carroll|40.5178147|-86.391941|02/14/1979|
432194|Carthage|Populated Place|10612|P1|0720|180720139|18|IN|1|139|Rush|39.7383781|-85.5719189|02/14/1979|03/20/2008
432202|Carwood|Populated Place|10630|U6|||18|IN|1|019|Clark|38.4483965|-85.863857|02/14/1979|04/10/2014
432206|Cascade|Populated Place|10643|U6|||18|IN|1|105|Monroe|39.1906025|-86.5388863|02/14/1979|
432215|Cass|Populated Place|10774|U6|||18|IN|1|153|Sullivan|39.0869874|-87.2786267|02/14/1979|
432221|Cassville|Populated Place|10828|U6|0727|180727067|18|IN|1|067|Howard|40.5600389|-86.1227701|02/14/1979|
432233|Castleton|Populated Place|10846|U4|0730|180730097|18|IN|1|097|Marion|39.9069833|-86.0522071|02/14/1979|
432235|Cataract|Populated Place|10882|U6|||18|IN|1|119|Owen|39.4275453|-86.816397|02/14/1979|
432236|Cates|Populated Place|10900|U6|||18|IN|1|045|Fountain|39.9967064|-87.3377905|02/14/1979|
432242|Catlin|Populated Place|10918|U6|||18|IN|1|121|Parke|39.693651|-87.2352929|02/14/1979|
432243|Cato|Populated Place|10936|U6|||18|IN|1|125|Pike|38.4367166|-87.1855642|02/14/1979|
432255|Cayuga|Populated Place|10954|P1|0740|180740165|18|IN|1|165|Vermillion|39.9486489|-87.4597385|02/14/1979|03/20/2008
432258|Cedar|Populated Place|10965|U6|||18|IN|1|033|DeKalb|41.312827|-85.1560832|02/14/1979|
432260|Cedar Canyons|Populated Place|10972|U6|||18|IN|1|003|Allen|41.2328269|-85.0891371|02/14/1979|
